Frame,Intersection over Union bbox,Intersection over Union ellipsoid
1,0.7173058013765978,0.6690064794816415
2,0.7487875848690592,0.6471562672556599
3,0.7353219696969697,0.6694819819819819
4,0.706140350877193,0.6733444629938787
5,0.6578581363004172,0.697738554881412
6,0.6662094192958391,0.672696438665913
7,0.701866181156122,0.6899488926746167
8,0.7402247191011236,0.6617895329206528
9,0.7474791758000877,0.6800225733634312
10,0.7543933054393306,0.7024280067758328
11,0.7627475769068689,0.6820034944670937
12,0.7410714285714286,0.7077625570776256
13,0.7347266881028939,0.690084985835694
14,0.757258064516129,0.6905428091773923
15,0.7421970004053506,0.6788732394366197
16,0.738569753810082,0.6950596252129472
17,0.7378939277478862,0.6841823056300268
18,0.6934852260590958,0.709452201933405
19,0.7147102526002972,0.6966901790558871
20,0.741923223109084,0.6686486486486487
21,0.7448938726471767,0.6801728795245813
22,0.749135612754514,0.6849836779107725
23,0.7162213022205495,0.6928651059085842
24,0.6886001676445934,0.6559503666102651
25,0.7439431913116124,0.6657110091743119
26,0.7421460628314973,0.6591824985607369
27,0.7409879839786382,0.662095447065277
28,0.7464539007092199,0.6713404374649468
29,0.7609598523304107,0.65587734241908
30,0.7474795967354777,0.6762749445676275
31,0.7465208747514911,0.669453734671126
32,0.7474385245901639,0.6688815060908084
33,0.7432646592709984,0.6672069151809833
34,0.7157778999450247,0.6570936243538197
35,0.7268648345485137,0.6220011702750147
36,0.6886192952050838,0.591283863368669
37,0.6756440281030445,0.5804360636417207
38,0.6652542372881356,0.571863580998782
39,0.640818858560794,0.5600933488914819
40,0.6438529784537389,0.5407362703681352
41,0.642811906269791,0.5638957816377171
42,0.6141975308641975,0.548564447159438
43,0.596078431372549,0.5387035871617369
44,0.6166448230668414,0.5271629778672032
45,0.6149233844103931,0.5514993481095176
46,0.6008091706001348,0.5452196382428941
47,0.6208563535911602,0.5479180436219432
48,0.5953389830508474,0.5321597833446174
49,0.6173361522198731,0.5251509054325956
50,0.6351902173913043,0.5396301188903567
