Frame,Intersection over Union bbox,Intersection over Union ellipsoid,Intersection over Union superquadric
1,0.6334586466165414,0.640899508081518,0.648367420165052
2,0.6533687943262412,0.6386173184357542,0.6645068394528437
3,0.6476190476190476,0.6382311977715878,0.6522662889518414
4,0.6092321755027422,0.6362701405553651,0.6476486860304288
5,0.6031904287138584,0.6685178757375911,0.6948480845442536
6,0.609791565681047,0.6350465677819938,0.6787938380858735
7,0.604326923076923,0.6559287183002056,0.6589121887287025
8,0.6279630373644034,0.638689866939611,0.6506666666666666
9,0.642176330420969,0.6235541535226078,0.657351540171483
10,0.6473988439306358,0.6354762706159542,0.6481481481481481
11,0.6542653137918076,0.6221360592174833,0.6282051282051282
12,0.6623323852092645,0.6151742993848257,0.6315286624203822
13,0.6884755895051478,0.6267845003399048,0.6440361258175024
14,0.6527382082937638,0.6264936838511438,0.6385216346153846
15,0.631547969393761,0.6228373702422145,0.6512909776617348
16,0.6567118226600985,0.6111493461803166,0.6293103448275862
17,0.6135831381733021,0.5760079312623926,0.6467754883596468
18,0.5878899082568807,0.6106516705259676,0.6446983789529631
19,0.6105032822757112,0.5986101919258769,0.6367949393779652
20,0.6460471567267684,0.570525615435795,0.6348558305690227
21,0.6719978313906207,0.5805510534846029,0.6410592553749345
22,0.6484610742305371,0.583848909150114,0.6374606505771249
23,0.6624161073825503,0.6162198846284357,0.6435748281332628
24,0.65,0.6232782369146006,0.661983032873807
25,0.6670694864048339,0.6205842391304348,0.647026880260657
26,0.6589088134299885,0.651578947368421,0.6790260099612617
27,0.6684865028814073,0.64,0.6738754325259516
28,0.671875,0.6783849634528367,0.7016290368676765
29,0.6883931683513419,0.6391574585635359,0.6761734997029115
30,0.722040072859745,0.6614840989399293,0.6783318751822689
31,0.7270332565031281,0.6146044624746451,0.6644777986241401
32,0.6736842105263158,0.6249550521395182,0.6583305170665765
33,0.747470962907456,0.6103756708407871,0.6830961471711211
34,0.6802827965435978,0.6124454148471615,0.6653252850435949
35,0.6776395022079487,0.616751269035533,0.6750257643421504
36,0.6629300347893313,0.5646408839779006,0.6347217102838186
37,0.6490467937608319,0.5635764016123122,0.6522064323111444
38,0.6299376299376299,0.5491615853658537,0.6021926389976507
39,0.5990610328638498,0.5464978235061337,0.5844306738962045
40,0.5618823529411765,0.5295678544351782,0.5864100549882169
41,0.6047281323877068,0.5124416796267496,0.5754060324825986
42,0.5860058309037901,0.5428457552809884,0.5763831544178365
43,0.5662759242560865,0.5230237912509593,0.5994654448262696
44,0.598978288633461,0.5098591549295775,0.5758275596612779
45,0.5674311926605504,0.520553207837111,0.5713107996702391
46,0.5604125736738703,0.5044070512820513,0.5591666666666667
47,0.579136690647482,0.5127084988085783,0.579031612645058
48,0.5620365793376174,0.5056,0.5807914262159934
49,0.5862250262881178,0.5232371794871795,0.5936708860759494
50,0.5670910871694417,0.5287682333873582,0.583779333058872
