Points,IoU,Times,Align IoU,Times Align
100,0.5396825396825397,0.5326719284057617,0.717948717948718,0.5048823356628418
250,0.6829268292682927,0.6041061878204346,0.7064676616915423,0.624154806137085
500,0.6371428571428571,0.7506170272827148,0.7336683417085427,0.8451588153839111
1000,0.6532951289398281,1.1610639095306396,0.7350318471337579,1.2707040309906006
2500,0.6390845070422535,2.4096999168395996,0.7609359104781281,2.7316112518310547
5000,0.6446983011130638,4.6600341796875,0.7671903167653876,4.396890878677368
10000,0.6509461426491994,8.434493064880371,0.7621725239616614,8.841244220733643
15000,0.645242718446602,12.736486911773682,0.7624765797990121,12.83484697341919
